Unnamed: 0,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
11299,2021,6,LA,Total Electric Power Industry,Total,8779524.0
11336,2021,6,MA,Total Electric Power Industry,Total,2031454.0
11382,2021,6,MD,Total Electric Power Industry,Total,3298037.0
11424,2021,6,ME,Total Electric Power Industry,Total,887200.0
11466,2021,6,MI,Total Electric Power Industry,Total,10027019.0
11524,2021,6,MN,Total Electric Power Industry,Total,5232700.0
11574,2021,6,MO,Total Electric Power Industry,Total,6775692.0
11619,2021,6,MS,Total Electric Power Industry,Total,6244269.0
11647,2021,6,MT,Total Electric Power Industry,Total,1910224.0
11682,2021,6,NC,Total Electric Power Industry,Total,11749564.0
11732,2021,6,ND,Total Electric Power Industry,Total,3165982.0
11759,2021,6,NE,Total Electric Power Industry,Total,3543702.0
11792,2021,6,NH,Total Electric Power Industry,Total,1644130.0
11827,2021,6,NJ,Total Electric Power Industry,Total,5579223.0
11873,2021,6,NM,Total Electric Power Industry,Total,3347948.0
11907,2021,6,NV,Total Electric Power Industry,Total,4290723.0
11946,2021,6,NY,Total Electric Power Industry,Total,11211598.0
12001,2021,6,OH,Total Electric Power Industry,Total,10077657.0
12055,2021,6,OK,Total Electric Power Industry,Total,7003295.0
12092,2021,6,OR,Total Electric Power Industry,Total,4953603.0
12133,2021,6,PA,Total Electric Power Industry,Total,21462904.0
12186,2021,6,RI,Total Electric Power Industry,Total,743745.0
12211,2021,6,SC,Total Electric Power Industry,Total,9010405.0
12258,2021,6,SD,Total Electric Power Industry,Total,1574686.0
12286,2021,6,TN,Total Electric Power Industry,Total,7697420.0
12329,2021,6,TX,Total Electric Power Industry,Total,46151735.0
12454,2021,6,UT,Total Electric Power Industry,Total,4111047.0
12492,2021,6,VA,Total Electric Power Industry,Total,8658369.0
12542,2021,6,VT,Total Electric Power Industry,Total,179022.0
12571,2021,6,WA,Total Electric Power Industry,Total,9841143.0
12615,2021,6,WI,Total Electric Power Industry,Total,6154105.0
12665,2021,6,WV,Total Electric Power Industry,Total,6865796.0
12691,2021,6,WY,Total Electric Power Industry,Total,3654339.0
12719,2021,7,AK,Total Electric Power Industry,Total,560241.0
12754,2021,7,AL,Total Electric Power Industry,Total,13641306.0
12788,2021,7,AR,Total Electric Power Industry,Total,6473704.0
12828,2021,7,AZ,Total Electric Power Industry,Total,11713549.0
12864,2021,7,CA,Total Electric Power Industry,Total,21903460.0
12927,2021,7,CO,Total Electric Power Industry,Total,5595931.0
12974,2021,7,CT,Total Electric Power Industry,Total,4053643.0
13015,2021,7,DC,Total Electric Power Industry,Total,22003.0
13026,2021,7,DE,Total Electric Power Industry,Total,568661.0
13056,2021,7,FL,Total Electric Power Industry,Total,24505463.0
13102,2021,7,GA,Total Electric Power Industry,Total,12597808.0
13148,2021,7,HI,Total Electric Power Industry,Total,810181.0
13188,2021,7,IA,Total Electric Power Industry,Total,5721159.0
13231,2021,7,ID,Total Electric Power Industry,Total,1454767.0
13269,2021,7,IL,Total Electric Power Industry,Total,16763648.0
13319,2021,7,IN,Total Electric Power Industry,Total,9542500.0
13365,2021,7,KS,Total Electric Power Industry,Total,5378267.0
13392,2021,7,KY,Total Electric Power Industry,Total,7155449.0
13418,2021,7,LA,Total Electric Power Industry,Total,10019341.0
13455,2021,7,MA,Total Electric Power Industry,Total,2014601.0
13501,2021,7,MD,Total Electric Power Industry,Total,3895621.0
13543,2021,7,ME,Total Electric Power Industry,Total,834567.0
13585,2021,7,MI,Total Electric Power Industry,Total,10404737.0
13643,2021,7,MN,Total Electric Power Industry,Total,5919769.0
13693,2021,7,MO,Total Electric Power Industry,Total,7245563.0
13738,2021,7,MS,Total Electric Power Industry,Total,6837682.0
13766,2021,7,MT,Total Electric Power Industry,Total,2083090.0
13801,2021,7,NC,Total Electric Power Industry,Total,13186228.0
13851,2021,7,ND,Total Electric Power Industry,Total,3736044.0
13878,2021,7,NE,Total Electric Power Industry,Total,3887504.0
13911,2021,7,NH,Total Electric Power Industry,Total,1719988.0
13946,2021,7,NJ,Total Electric Power Industry,Total,6299275.0
13992,2021,7,NM,Total Electric Power Industry,Total,3052352.0
14026,2021,7,NV,Total Electric Power Industry,Total,4679503.0
14065,2021,7,NY,Total Electric Power Industry,Total,11930259.0
14120,2021,7,OH,Total Electric Power Industry,Total,11850938.0
14174,2021,7,OK,Total Electric Power Industry,Total,7647216.0
14211,2021,7,OR,Total Electric Power Industry,Total,5145661.0
14252,2021,7,PA,Total Electric Power Industry,Total,23291936.0
14305,2021,7,RI,Total Electric Power Industry,Total,876165.0
14330,2021,7,SC,Total Electric Power Industry,Total,9712734.0
14377,2021,7,SD,Total Electric Power Industry,Total,1542214.0
14405,2021,7,TN,Total Electric Power Industry,Total,8210046.0
14448,2021,7,TX,Total Electric Power Industry,Total,48066474.0
14573,2021,7,UT,Total Electric Power Industry,Total,4551005.0
14611,2021,7,VA,Total Electric Power Industry,Total,9718726.0
14661,2021,7,VT,Total Electric Power Industry,Total,177629.0
14690,2021,7,WA,Total Electric Power Industry,Total,9753979.0
14734,2021,7,WI,Total Electric Power Industry,Total,6818142.0
14784,2021,7,WV,Total Electric Power Industry,Total,7041948.0
14810,2021,7,WY,Total Electric Power Industry,Total,4136039.0
14838,2021,8,AK,Total Electric Power Industry,Total,570720.0
14873,2021,8,AL,Total Electric Power Industry,Total,13937140.0
14907,2021,8,AR,Total Electric Power Industry,Total,6643288.0
14947,2021,8,AZ,Total Electric Power Industry,Total,11498006.0
14983,2021,8,CA,Total Electric Power Industry,Total,20631178.0
15046,2021,8,CO,Total Electric Power Industry,Total,5499518.0
15093,2021,8,CT,Total Electric Power Industry,Total,4256341.0
15134,2021,8,DC,Total Electric Power Industry,Total,20354.0
15145,2021,8,DE,Total Electric Power Industry,Total,657353.0
15175,2021,8,FL,Total Electric Power Industry,Total,25364221.0
15221,2021,8,GA,Total Electric Power Industry,Total,13231111.0
15267,2021,8,HI,Total Electric Power Industry,Total,826982.0
15307,2021,8,IA,Total Electric Power Industry,Total,5899787.0
15350,2021,8,ID,Total Electric Power Industry,Total,1431700.0
15388,2021,8,IL,Total Electric Power Industry,Total,17421598.0
15438,2021,8,IN,Total Electric Power Industry,Total,10146851.0
15484,2021,8,KS,Total Electric Power Industry,Total,5328167.0
15511,2021,8,KY,Total Electric Power Industry,Total,7333650.0
15537,2021,8,LA,Total Electric Power Industry,Total,10162026.0
15574,2021,8,MA,Total Electric Power Industry,Total,2234294.0
15620,2021,8,MD,Total Electric Power Industry,Total,3888555.0
15662,2021,8,ME,Total Electric Power Industry,Total,925857.0
15704,2021,8,MI,Total Electric Power Industry,Total,10995383.0
15762,2021,8,MN,Total Electric Power Industry,Total,6204062.0
15812,2021,8,MO,Total Electric Power Industry,Total,8272642.0
15857,2021,8,MS,Total Electric Power Industry,Total,6891275.0
15885,2021,8,MT,Total Electric Power Industry,Total,1976881.0
15920,2021,8,NC,Total Electric Power Industry,Total,13519133.0
15970,2021,8,ND,Total Electric Power Industry,Total,3767844.0
15997,2021,8,NE,Total Electric Power Industry,Total,3816014.0
16030,2021,8,NH,Total Electric Power Industry,Total,1770201.0
16065,2021,8,NJ,Total Electric Power Industry,Total,6635958.0
16111,2021,8,NM,Total Electric Power Industry,Total,3463814.0
16145,2021,8,NV,Total Electric Power Industry,Total,4499841.0
16184,2021,8,NY,Total Electric Power Industry,Total,12607715.0
16239,2021,8,OH,Total Electric Power Industry,Total,12035353.0
16293,2021,8,OK,Total Electric Power Industry,Total,8767473.0
16330,2021,8,OR,Total Electric Power Industry,Total,5096573.0
16371,2021,8,PA,Total Electric Power Industry,Total,23305121.0
16424,2021,8,RI,Total Electric Power Industry,Total,923342.0
16449,2021,8,SC,Total Electric Power Industry,Total,9280602.0
16496,2021,8,SD,Total Electric Power Industry,Total,1655669.0
16524,2021,8,TN,Total Electric Power Industry,Total,8348658.0
16567,2021,8,TX,Total Electric Power Industry,Total,50140604.0
16692,2021,8,UT,Total Electric Power Industry,Total,4397659.0
16730,2021,8,VA,Total Electric Power Industry,Total,9679739.0
16780,2021,8,VT,Total Electric Power Industry,Total,178416.0
16809,2021,8,WA,Total Electric Power Industry,Total,9335371.0
