Date,Price,Open,High,Low,Vol.,Change %
6/23/2022,11697.68,"11,622.09","11,729.62","11,515.77",231.44M,1.47%
6/22/2022,11527.71,"11,427.62","11,707.33","11,423.75",240.11M,-0.16%
6/21/2022,11546.76,"11,446.99","11,638.24","11,446.99",277.38M,2.49%
6/17/2022,11265.99,"11,173.64","11,357.62","11,092.09",648.22M,1.24%
6/16/2022,11127.57,"11,285.41","11,306.74","11,037.24",326.09M,-4.02%
6/15/2022,11593.77,"11,468.78","11,748.07","11,347.52",285.20M,2.49%
6/14/2022,11311.69,"11,385.18","11,418.11","11,206.15",239.87M,0.21%
6/13/2022,11288.32,"11,472.19","11,567.12","11,254.18",340.67M,-4.60%
6/10/2022,11832.82,"12,055.29","12,072.44","11,825.35",282.31M,-3.56%
6/9/2022,12269.78,"12,543.37","12,665.04","12,265.86",222.66M,-2.74%
6/8/2022,12615.13,"12,680.75","12,776.65","12,578.55",196.32M,-0.76%
6/7/2022,12711.67,"12,456.21","12,735.89","12,413.55",191.58M,0.89%
6/6/2022,12599.63,"12,745.89","12,804.20","12,534.58",199.63M,0.41%
6/3/2022,12548.03,"12,650.92","12,724.71","12,505.98",218.62M,-2.67%
6/2/2022,12892.89,"12,498.63","12,897.24","12,450.53",236.84M,2.75%
6/1/2022,12548.36,"12,750.31","12,820.40","12,458.35",206.92M,-0.74%
5/31/2022,12642.10,"12,689.88","12,762.84","12,482.80",418.27M,-0.31%
5/27/2022,12681.42,"12,423.94","12,681.42","12,405.54",247.34M,3.30%
5/26/2022,12276.79,"11,906.83","12,337.68","11,901.87",252.30M,2.79%
5/25/2022,11943.93,"11,727.59","12,028.42","11,714.27",223.83M,1.48%
5/24/2022,11769.84,"11,809.46","11,841.61","11,576.13",231.83M,-2.20%
5/23/2022,12034.28,"11,867.08","12,047.62","11,785.76",222.48M,1.68%
5/20/2022,11835.62,"12,037.03","12,042.76","11,493.11",310.16M,-0.34%
5/19/2022,11875.63,"11,871.33","12,066.65","11,795.79",274.43M,-0.44%
5/18/2022,11928.31,"12,353.24","12,389.96","11,891.55",277.03M,-5.06%
